"Year","Product","01 Agriculture and hunting","02 Forestry","03 Fishing","05_09 Mining and quarrying","10_12 Food industry, etc.","13_15 Textile, clothing and  leather industries","16 Woodworking industry","17 Paper industry","18 Printing","19 Manufacture of coke and refined petroleum products","20 Manufacture of chemicals and chemical products","21 Pharmaceutical industry","22 Manufacture of rubber and plastic products","23 Manufacture of other non-metallic mineral products","24 Manufacture of basic metals","25 Manufacture of fabricated metal products","26 Electronics industry","27 Manufacture of electrical equipment","28 Manufacture of machinery and equipment n.e.c.","29 Manufacture of motor vehicles, etc.","30 Manufacture of other transport equipment","31_32 Manufacture of furniture and other products","33 Repair and installation of machinery and equipment","35 Electricity, gas, steam and air conditioning supply","36 Water collection, treatment and supply","37_39 Sewerage and waste management","41_43 Construction","45 Trade and repair of motor vehicles, etc.","46 Wholesale trade (excl. motor vehicles, etc.)","47 Retail trade (excl. motor vehicles, etc.)","49 Land transport","50 Water transport","51 Air transport","52 Warehousing and support activities for transportation","53 Postal and courier activities","55_56 Accommodation and food service activities","58 Publishing activities","59_60 Audio-visual activities","61 Telecommunications","62_63 Computer and information service activities","64 Financial activities","65 Insurance activities","66 Activities auxiliary to financial and insurance activities","68 Real estate activities","68A Operation of dwellings and residential real estate","69_70 Business management activities","71 Architectural and engineering activities, etc.","72 Scientific research and development","73 Advertising and market research","74_75 Other business activities and veterinary activities","77 Rental and leasing activities","78 Employment activities","79 Travel agencies, etc.","80_82 Other support services","84 Public administration and social security","85 Education","86 Human health activities","87_88 Social work activities","90_92 Cultural activities and gambling","93 Sport, amusement and recreation activities","94 Activities of membership organisations","95 Repair of household goods","96 Other personal service activities","97_98 Household service activities","0 Industries total","P3/S14 Final consumption expenditure by households","P3/S15 Final consumption expenditure by non-profit organisations serving households (NPISH)","P3/S13 Final consumption expenditure by government","P3K Final consumption expenditure","P51 Gross fixed capital formation","P52 Changes in inventories","P5 Gross capital formation","P6K/S21 Exports intra EU fob","P6K/S2111 Exports intra EU, members of EMU fob","P6K/S2112 Exports intra EU, nonmembers of EMU fob","P6K/S22 Exports extra EU fob","P6K Exports of goods and services","FUSE_PH Final uses at basic prices","USE_PH Total use at basic prices"
"2014","01 Products of agriculture, hunting and related services",80.721000,0.003000,.,.,311.388000,0.043000,0.206000,0.441000,.,.,0.026000,1.145000,45.383000,.,.,.,.,.,.,.,.,0.033000,0.000000,.,.,0.002000,0.131000,.,.,.,.,.,.,.,.,61.281000,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000000,.,.,.,2.258000,9.471000,6.381000,11.832000,2.893000,0.268000,0.389000,.,.,.,.,534.294000,785.785000,.,.,785.785000,6.645000,-1.109000,5.536000,28.235000,18.831000,9.404000,49.126000,77.361000,868.682000,1402.976000
"2014","02 Products of forestry, logging and related services",0.048000,1.615000,.,0.000000,3.177000,.,64.038000,206.038000,0.000000,0.000000,0.000000,.,.,0.001000,.,0.000000,.,.,0.000000,0.000000,3.619000,0.000000,0.000000,34.891000,0.000000,0.000000,0.051000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.038000,0.037000,.,.,.,.,0.000000,.,.,.,0.039000,0.124000,0.104000,0.193000,0.049000,0.004000,0.005000,.,.,.,.,314.072000,1.872000,.,.,1.872000,1.817000,-0.133000,1.684000,1.095000,0.996000,0.099000,0.339000,1.434000,4.991000,319.062000
"2014","03 Fish and other fishing products; aquaculture products; support services to fishing",0.151000,0.157000,1.415000,.,68.355000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.483000,0.003000,0.230000,1.069000,0.079000,0.441000,0.002000,0.124000,0.682000,0.575000,1.273000,0.021000,56.480000,0.196000,0.022000,0.359000,1.202000,0.172000,0.796000,0.369000,1.354000,0.085000,0.358000,0.673000,0.133000,0.795000,0.266000,0.939000,0.077000,0.518000,1.643000,2.536000,1.780000,3.207000,1.060000,0.252000,0.483000,1.438000,0.004000,0.013000,.,152.269000,45.066000,.,.,45.066000,.,0.452000,0.452000,.,.,.,.,.,45.518000,197.787000
"2014","05_09 Mining and quarrying",0.750000,0.014000,.,14.834000,17.193000,0.079000,0.418000,169.247000,0.017000,6359.543000,67.179000,0.024000,1.204000,44.279000,910.461000,3.788000,.,0.123000,2.106000,0.103000,0.049000,0.460000,0.296000,909.563000,0.311000,.,9.224000,.,.,.,.,.,.,0.000000,.,.,.,.,.,.,.,.,.,.,.,.,0.000000,0.001000,.,.,.,0.000000,0.000000,0.008000,0.004000,0.005000,0.000000,0.000000,0.001000,.,.,.,.,.,8511.283000,.,.,.,.,.,4.885000,4.885000,0.912000,0.393000,0.519000,0.090000,1.003000,5.888000,8517.171000
"2014","10_12 Food products, beverages and tobacco products",45.888000,1.947000,0.020000,0.005000,796.808000,3.126000,1.393000,60.926000,0.002000,.,586.001000,0.606000,1.899000,0.332000,0.002000,0.007000,0.005000,0.005000,0.015000,0.001000,0.001000,0.011000,0.002000,3.763000,0.082000,2.352000,11.489000,0.937000,4.232000,0.026000,1.222000,16.304000,4.462000,11.098000,0.232000,240.034000,2.143000,0.258000,3.948000,13.118000,2.037000,6.759000,4.220000,16.330000,0.993000,4.031000,7.076000,1.508000,8.781000,5.478000,9.660000,0.813000,4.434000,19.385000,26.578000,18.817000,32.283000,10.804000,2.640000,5.015000,16.903000,0.736000,1.331000,.,2021.315000,2063.880000,.,.,2063.880000,.,42.630000,42.630000,2.014000,0.786000,1.227000,2.408000,4.421000,2110.932000,4132.247000
"2014","13_15 Textiles, wearing apparel and leather products",0.483000,0.590000,0.000000,.,6.253000,296.642000,0.298000,5.048000,0.155000,.,0.168000,5.067000,7.987000,9.498000,0.016000,3.354000,2.161000,1.221000,2.397000,0.716000,1.103000,18.243000,0.969000,1.558000,0.053000,31.099000,31.100000,1.588000,63.183000,27.773000,0.438000,21.984000,1.565000,4.496000,0.064000,3.236000,2.272000,0.524000,1.021000,12.083000,3.270000,4.580000,4.661000,4.951000,0.332000,6.482000,24.434000,1.784000,10.788000,14.852000,6.229000,1.023000,1.848000,22.753000,15.622000,5.192000,28.439000,10.055000,0.936000,1.691000,6.494000,6.963000,5.869000,.,755.652000,1919.902000,.,.,1919.902000,6.291000,7.173000,13.464000,3.358000,1.475000,1.883000,4.895000,8.252000,1941.618000,2697.270000
"2014","16 Wood and products of wood and cork, except furniture; articles of straw and plaiting materials",0.017000,0.018000,0.000000,.,0.890000,0.057000,88.329000,71.402000,0.006000,.,0.467000,0.080000,0.153000,2.065000,1.473000,1.219000,0.010000,0.121000,0.349000,0.908000,0.730000,45.469000,0.059000,1.476000,0.006000,0.051000,247.114000,0.204000,2.692000,1.248000,0.114000,0.006000,0.127000,0.177000,0.007000,0.050000,0.037000,0.007000,0.049000,0.204000,0.036000,0.082000,0.038000,0.241000,0.009000,0.149000,0.125000,1.953000,0.107000,7.965000,0.127000,0.040000,0.072000,0.810000,0.296000,2.098000,0.210000,0.064000,0.079000,0.065000,1.354000,2.223000,3.706000,.,489.234000,13.580000,.,.,13.580000,.,3.224000,3.224000,.,.,.,.,.,16.804000,506.038000
"2014","17 Paper and paper products",0.499000,1.212000,0.001000,0.259000,43.191000,0.818000,3.118000,448.461000,55.291000,0.321000,4.524000,4.651000,10.992000,7.753000,3.318000,1.179000,1.053000,0.562000,5.009000,0.096000,0.130000,0.682000,0.700000,1.790000,0.060000,4.270000,9.583000,6.225000,5.834000,9.512000,0.835000,2.405000,0.773000,2.079000,0.321000,0.671000,7.967000,5.569000,1.105000,7.889000,5.930000,2.039000,2.493000,4.059000,0.463000,5.185000,4.019000,1.198000,3.795000,2.667000,5.412000,1.388000,1.126000,15.033000,8.716000,9.425000,24.207000,4.146000,2.880000,2.800000,3.413000,0.183000,1.138000,.,772.424000,77.899000,.,.,77.899000,.,10.491000,10.491000,.,.,.,.,.,88.390000,860.814000
"2014","18 Printing and recording services",.,0.013000,.,.,0.006000,0.001000,0.003000,0.297000,19.094000,0.000000,0.002000,0.005000,0.580000,0.066000,0.001000,0.044000,0.005000,0.005000,0.062000,0.000000,0.062000,0.057000,0.003000,0.003000,.,0.008000,0.100000,0.073000,33.431000,23.157000,0.269000,.,.,0.168000,.,.,63.048000,18.637000,7.941000,20.348000,.,.,.,.,.,1.523000,.,0.297000,0.610000,0.018000,.,.,0.107000,1.109000,5.076000,3.995000,2.795000,1.661000,6.255000,3.416000,.,.,.,.,214.349000,0.094000,.,.,0.094000,.,3.697000,3.697000,.,.,.,.,.,3.791000,218.140000
"2014","19 Coke and refined petroleum products",104.525000,81.289000,0.000000,22.968000,19.051000,0.007000,3.806000,12.022000,0.345000,1353.028000,31.527000,0.841000,3.244000,28.225000,89.378000,4.035000,0.724000,1.711000,5.356000,1.639000,4.319000,5.652000,2.043000,79.351000,0.039000,16.071000,139.822000,5.793000,4.226000,15.740000,28.469000,217.509000,506.460000,28.019000,0.160000,3.445000,0.509000,0.137000,2.501000,0.154000,6.152000,0.052000,2.845000,152.232000,149.724000,1.096000,0.223000,0.940000,0.133000,0.107000,1.641000,0.036000,0.286000,9.969000,61.927000,21.125000,23.271000,15.672000,4.537000,8.184000,6.618000,0.614000,4.644000,.,3296.169000,431.193000,.,.,431.193000,.,8.257000,8.257000,158.884000,141.122000,17.762000,3.570000,162.454000,601.904000,3898.073000
