REG;COM;IND;value
Uusimaa;01 Maatalous ja metsästys;01 Maatalous ja metsästys;18.31891632080078
Uusimaa;02_03 Metsätalous ja kalatalous;01 Maatalous ja metsästys;0.3155458867549896
Uusimaa;05_09 Kaivostoiminta ja louhinta;01 Maatalous ja metsästys;0.01166584249585867
Uusimaa;10_12 Elintarviketeollisuus ym.;01 Maatalous ja metsästys;7.032235622406006
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;01 Maatalous ja metsästys;0.009627225808799267
Uusimaa;16 Puuteollisuus;01 Maatalous ja metsästys;0.03620445355772972
Uusimaa;17_18 Paperiteollisuus ja painaminen;01 Maatalous ja metsästys;0.11582156270742416
Uusimaa;19_22 Kemianteollisuus;01 Maatalous ja metsästys;0.9606241583824158
Uusimaa;23 Rakennusaineteollisuus;01 Maatalous ja metsästys;0.04669264703989029
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);01 Maatalous ja metsästys;0.4402886629104614
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;01 Maatalous ja metsästys;0.18707449734210968
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;01 Maatalous ja metsästys;0.420281320810318
Uusimaa;29_30 Kulkuneuvojen valmistus;01 Maatalous ja metsästys;0.004423150792717934
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;01 Maatalous ja metsästys;0.4310753345489502
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;01 Maatalous ja metsästys;0.5635274052619934
Uusimaa;41_43 Rakentaminen;01 Maatalous ja metsästys;0.7518097758293152
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;01 Maatalous ja metsästys;0.15803174674510956
Uusimaa;49_53 Kuljetus ja varastointi;01 Maatalous ja metsästys;0.09161075204610825
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;01 Maatalous ja metsästys;0.011447026394307613
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;01 Maatalous ja metsästys;0.0705825686454773
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;01 Maatalous ja metsästys;0.028828345239162445
Uusimaa;681+68209+683 Muu kiinteistötoiminta;01 Maatalous ja metsästys;0.0009361015981994569
Uusimaa;68201_68202 Asuntojen vuokraus ja hallinta;01 Maatalous ja metsästys;3.100859791160815e-09
Uusimaa;69_75 Ammatillinen, tieteellinen ja tekninen toiminta;01 Maatalous ja metsästys;0.06783849000930786
Uusimaa;77_82 Hallinto- ja tukipalvelutoiminta;01 Maatalous ja metsästys;0.6473716497421265
Uusimaa;84 Julkinen hallinto ja sosiaalivakuutus;01 Maatalous ja metsästys;0.02995869889855385
Uusimaa;85 Koulutus;01 Maatalous ja metsästys;0.003190896939486265
Uusimaa;86_88 Terveys- ja sosiaalipalvelut;01 Maatalous ja metsästys;0.00010524361277930439
Uusimaa;90_96 Taiteet, viihde ja virkistys: Muu palvelutoiminta;01 Maatalous ja metsästys;0.02019844576716423
Uusimaa;97_98 Kotitalouspalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;SUM;01 Maatalous ja metsästys;30.7759138361884
Uusimaa;01 Maatalous ja metsästys;02_03 Metsätalous ja kalatalous;0.04004590958356857
Uusimaa;02_03 Metsätalous ja kalatalous;02_03 Metsätalous ja kalatalous;22.60626220703125
Uusimaa;05_09 Kaivostoiminta ja louhinta;02_03 Metsätalous ja kalatalous;0.03824988007545471
Uusimaa;10_12 Elintarviketeollisuus ym.;02_03 Metsätalous ja kalatalous;0.2776717245578766
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;02_03 Metsätalous ja kalatalous;0.009420939721167088
Uusimaa;16 Puuteollisuus;02_03 Metsätalous ja kalatalous;0.04126397520303726
Uusimaa;17_18 Paperiteollisuus ja painaminen;02_03 Metsätalous ja kalatalous;0.23705501854419708
Uusimaa;19_22 Kemianteollisuus;02_03 Metsätalous ja kalatalous;0.29714104533195496
Uusimaa;23 Rakennusaineteollisuus;02_03 Metsätalous ja kalatalous;0.0023115354124456644
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);02_03 Metsätalous ja kalatalous;0.00911200512200594
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;02_03 Metsätalous ja kalatalous;0.029188338667154312
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;02_03 Metsätalous ja kalatalous;0.06885188072919846
Uusimaa;29_30 Kulkuneuvojen valmistus;02_03 Metsätalous ja kalatalous;0.09455452114343643
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;02_03 Metsätalous ja kalatalous;0.0170975960791111
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;02_03 Metsätalous ja kalatalous;0.09247128665447235
Uusimaa;41_43 Rakentaminen;02_03 Metsätalous ja kalatalous;0.0018441309221088886
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;02_03 Metsätalous ja kalatalous;0.05214168131351471
Uusimaa;49_53 Kuljetus ja varastointi;02_03 Metsätalous ja kalatalous;0.09645131230354309
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;02_03 Metsätalous ja kalatalous;0.015990572050213814
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;02_03 Metsätalous ja kalatalous;0.011003455147147179
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;02_03 Metsätalous ja kalatalous;0.014275319874286652
Uusimaa;681+68209+683 Muu kiinteistötoiminta;02_03 Metsätalous ja kalatalous;0.0013743411982432008
Uusimaa;68201_68202 Asuntojen vuokraus ja hallinta;02_03 Metsätalous ja kalatalous;1.9614740054407775e-08
Uusimaa;69_75 Ammatillinen, tieteellinen ja tekninen toiminta;02_03 Metsätalous ja kalatalous;0.018500279635190964
Uusimaa;77_82 Hallinto- ja tukipalvelutoiminta;02_03 Metsätalous ja kalatalous;0.08907771855592728
Uusimaa;84 Julkinen hallinto ja sosiaalivakuutus;02_03 Metsätalous ja kalatalous;0.05892661213874817
Uusimaa;85 Koulutus;02_03 Metsätalous ja kalatalous;0.0010296065593138337
Uusimaa;86_88 Terveys- ja sosiaalipalvelut;02_03 Metsätalous ja kalatalous;0.0005449192249216139
Uusimaa;90_96 Taiteet, viihde ja virkistys: Muu palvelutoiminta;02_03 Metsätalous ja kalatalous;0.005863646045327187
Uusimaa;97_98 Kotitalouspalvelut;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;SUM;02_03 Metsätalous ja kalatalous;24.227721478439555
Uusimaa;01 Maatalous ja metsästys;05_09 Kaivostoiminta ja louhinta;0.00048371669254265726
