REG;COM;IND;value
Uusimaa;01 Maatalous ja metsästys;01 Maatalous ja metsästys;5.305413722991943
Uusimaa;02_03 Metsätalous ja kalatalous;01 Maatalous ja metsästys;0.03140994906425476
Uusimaa;05_09 Kaivostoiminta ja louhinta;01 Maatalous ja metsästys;0.05940048769116402
Uusimaa;10_12 Elintarviketeollisuus ym.;01 Maatalous ja metsästys;6.10218620300293
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;01 Maatalous ja metsästys;0.015755075961351395
Uusimaa;16 Puuteollisuus;01 Maatalous ja metsästys;0.0037900430615991354
Uusimaa;17_18 Paperiteollisuus ja painaminen;01 Maatalous ja metsästys;0.00980957318097353
Uusimaa;19_22 Kemianteollisuus;01 Maatalous ja metsästys;9.291388511657715
Uusimaa;23 Rakennusaineteollisuus;01 Maatalous ja metsästys;0.02706548199057579
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);01 Maatalous ja metsästys;0.31263190507888794
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;01 Maatalous ja metsästys;0.0020401098299771547
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;01 Maatalous ja metsästys;0.508367657661438
Uusimaa;29_30 Kulkuneuvojen valmistus;01 Maatalous ja metsästys;0.0
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;01 Maatalous ja metsästys;0.13343545794487
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;01 Maatalous ja metsästys;0.33191901445388794
Uusimaa;41_43 Rakentaminen;01 Maatalous ja metsästys;0.001820665318518877
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;01 Maatalous ja metsästys;0.11425338685512543
Uusimaa;49_53 Kuljetus ja varastointi;01 Maatalous ja metsästys;0.10350015014410019
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;01 Maatalous ja metsästys;0.007466604467481375
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;01 Maatalous ja metsästys;0.026651708409190178
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;01 Maatalous ja metsästys;0.4363468885421753
Uusimaa;681+68209+683 Muu kiinteistötoiminta;01 Maatalous ja metsästys;1.3877869378120522e-06
Uusimaa;68201_68202 Asuntojen vuokraus ja hallinta;01 Maatalous ja metsästys;0.0
Uusimaa;69_75 Ammatillinen, tieteellinen ja tekninen toiminta;01 Maatalous ja metsästys;0.06831853091716766
Uusimaa;77_82 Hallinto- ja tukipalvelutoiminta;01 Maatalous ja metsästys;4.076453685760498
Uusimaa;84 Julkinen hallinto ja sosiaalivakuutus;01 Maatalous ja metsästys;0.003217110177502036
Uusimaa;85 Koulutus;01 Maatalous ja metsästys;5.938588219578378e-05
Uusimaa;86_88 Terveys- ja sosiaalipalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;90_96 Taiteet, viihde ja virkistys: Muu palvelutoiminta;01 Maatalous ja metsästys;0.00043503288179636
Uusimaa;97_98 Kotitalouspalvelut;01 Maatalous ja metsästys;0.0
