REG;COM;IND;value
Uusimaa;01 Maatalous ja metsästys;01 Maatalous ja metsästys;17.249292373657227
Uusimaa;02_03 Metsätalous ja kalatalous;01 Maatalous ja metsästys;0.2930637001991272
Uusimaa;05_09 Kaivostoiminta ja louhinta;01 Maatalous ja metsästys;0.015290527604520321
Uusimaa;10_12 Elintarviketeollisuus ym.;01 Maatalous ja metsästys;5.244963645935059
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;01 Maatalous ja metsästys;0.009471144527196884
Uusimaa;16 Puuteollisuus;01 Maatalous ja metsästys;0.033428534865379333
Uusimaa;17_18 Paperiteollisuus ja painaminen;01 Maatalous ja metsästys;0.100558340549469
Uusimaa;19_22 Kemianteollisuus;01 Maatalous ja metsästys;0.7341842651367188
Uusimaa;23 Rakennusaineteollisuus;01 Maatalous ja metsästys;0.03801744803786278
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);01 Maatalous ja metsästys;0.43341973423957825
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;01 Maatalous ja metsästys;0.00015327869914472103
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;01 Maatalous ja metsästys;0.2921639680862427
Uusimaa;29_30 Kulkuneuvojen valmistus;01 Maatalous ja metsästys;0.0
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;01 Maatalous ja metsästys;0.6452839374542236
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;01 Maatalous ja metsästys;0.5078821182250977
Uusimaa;41_43 Rakentaminen;01 Maatalous ja metsästys;0.6097240447998047
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;01 Maatalous ja metsästys;0.14588546752929688
Uusimaa;49_53 Kuljetus ja varastointi;01 Maatalous ja metsästys;0.07544660568237305
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;01 Maatalous ja metsästys;0.012345001101493835
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;01 Maatalous ja metsästys;0.006760776042938232
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;01 Maatalous ja metsästys;0.026202678680419922
Uusimaa;681+68209+683 Muu kiinteistötoiminta;01 Maatalous ja metsästys;3.7029385566711426e-06
Uusimaa;68201_68202 Asuntojen vuokraus ja hallinta;01 Maatalous ja metsästys;0.0
Uusimaa;69_75 Ammatillinen, tieteellinen ja tekninen toiminta;01 Maatalous ja metsästys;0.03697562217712402
Uusimaa;77_82 Hallinto- ja tukipalvelutoiminta;01 Maatalous ja metsästys;0.7665748596191406
Uusimaa;84 Julkinen hallinto ja sosiaalivakuutus;01 Maatalous ja metsästys;0.025484561920166016
Uusimaa;85 Koulutus;01 Maatalous ja metsästys;1.1246651411056519e-05
Uusimaa;86_88 Terveys- ja sosiaalipalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;90_96 Taiteet, viihde ja virkistys: Muu palvelutoiminta;01 Maatalous ja metsästys;0.003191739320755005
Uusimaa;97_98 Kotitalouspalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;Tuotteet yhteensä;01 Maatalous ja metsästys;27.305779323680326
Uusimaa;01 Maatalous ja metsästys;02_03 Metsätalous ja kalatalous;0.02494879998266697
Uusimaa;02_03 Metsätalous ja kalatalous;02_03 Metsätalous ja kalatalous;21.50448226928711
Uusimaa;05_09 Kaivostoiminta ja louhinta;02_03 Metsätalous ja kalatalous;0.021266307681798935
Uusimaa;10_12 Elintarviketeollisuus ym.;02_03 Metsätalous ja kalatalous;0.09360186755657196
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;02_03 Metsätalous ja kalatalous;0.010352012701332569
Uusimaa;16 Puuteollisuus;02_03 Metsätalous ja kalatalous;0.011995002627372742
Uusimaa;17_18 Paperiteollisuus ja painaminen;02_03 Metsätalous ja kalatalous;0.23242099583148956
Uusimaa;19_22 Kemianteollisuus;02_03 Metsätalous ja kalatalous;0.2648940086364746
Uusimaa;23 Rakennusaineteollisuus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);02_03 Metsätalous ja kalatalous;0.0038105377461761236
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;02_03 Metsätalous ja kalatalous;0.00018915021792054176
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;29_30 Kulkuneuvojen valmistus;02_03 Metsätalous ja kalatalous;0.1637324094772339
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;02_03 Metsätalous ja kalatalous;0.021921351552009583
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;02_03 Metsätalous ja kalatalous;0.08994859457015991
Uusimaa;41_43 Rakentaminen;02_03 Metsätalous ja kalatalous;0.00143369659781456
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;02_03 Metsätalous ja kalatalous;0.05173301696777344
Uusimaa;49_53 Kuljetus ja varastointi;02_03 Metsätalous ja kalatalous;0.09453761577606201
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;02_03 Metsätalous ja kalatalous;0.017827242612838745
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;02_03 Metsätalous ja kalatalous;0.009063005447387695
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;02_03 Metsätalous ja kalatalous;0.013330936431884766
