"Year","Month","CPI 2015=100 Point figure","CPI 2010=100 Point figure","CPI 2005=100 Point figure","CPI 2000=100 Point figure","CPI 1995=100 Point figure","CPI 1990 =100 Point figure","CPI 1985=100 Point figure","CPI 1981=100 Point figure","CPI 1977=100 Point figure","CPI 1972=100 Point figure"
"2018","January",101.2,110.1,120.8,128.5,138.8,155.4,196.8,264.9,383.2,749.8
"2018","February",101.5,110.5,121.2,128.9,139.2,155.9,197.4,265.7,384.4,752.1
"2018","March",101.7,110.7,121.4,129.2,139.5,156.2,197.8,266.3,385.2,753.6
"2018","April",102.0,111.0,121.7,129.5,139.8,156.6,198.3,266.9,386.2,755.5
"2018","May",102.1,111.1,121.9,129.7,140.0,156.8,198.5,267.2,386.6,756.3
"2018","June",102.3,111.3,122.1,129.9,140.3,157.1,198.9,267.8,387.4,758.0
"2018","July",102.2,111.2,122.0,129.8,140.2,157.0,198.8,267.6,387.1,757.4
"2018","August",102.4,111.4,122.2,130.0,140.4,157.2,199.1,268.0,387.7,758.5
"2018","September",102.6,111.6,122.5,130.3,140.7,157.5,199.5,268.5,388.5,760.1
"2018","October",.,.,.,.,.,.,.,.,.,.
"2018","November",.,.,.,.,.,.,.,.,.,.
"2018","December",.,.,.,.,.,.,.,.,.,.
"2018","Annual average",.,.,.,.,.,.,.,.,.,.
"2017","January",100.4,109.2,119.9,127.5,137.7,154.2,195.2,262.8,380.2,743.9
"2017","February",100.9,109.8,120.5,128.2,138.4,155.0,196.2,264.1,382.1,747.6
"2017","March",100.9,109.8,120.5,128.2,138.4,155.0,196.2,264.1,382.1,747.6
"2017","April",101.2,110.1,120.8,128.6,138.8,155.4,196.8,264.9,383.3,749.9
"2017","May",101.1,110.0,120.6,128.4,138.6,155.2,196.5,264.5,382.7,748.7
"2017","June",101.1,110.0,120.7,128.5,138.7,155.3,196.7,264.7,383.0,749.3
"2017","July",100.9,109.7,120.4,128.1,138.3,154.9,196.1,264.0,381.9,747.1
"2017","August",101.1,110.0,120.7,128.4,138.6,155.3,196.6,264.6,382.8,749.0
"2017","September",101.3,110.2,120.9,128.7,138.9,155.6,197.0,265.2,383.6,750.6
"2017","October",101.3,110.2,120.9,128.7,138.9,155.6,197.0,265.1,383.6,750.5
"2017","November",101.6,110.5,121.2,129.0,139.2,155.9,197.5,265.8,384.5,752.3
"2017","December",101.5,110.4,121.2,128.9,139.2,155.9,197.4,265.7,384.4,752.0
"2017","Annual average",101.1,110.0,120.7,128.4,138.6,155.3,196.6,264.6,382.8,749.0
"2016","January",99.6,108.3,118.9,126.5,136.5,152.9,193.6,260.6,377.0,737.6
"2016","February",99.7,108.5,119.0,126.6,136.7,153.1,193.9,261.0,377.5,738.6
"2016","March",100.1,108.9,119.5,127.1,137.2,153.7,194.6,261.9,378.9,741.4
"2016","April",100.4,109.2,119.8,127.5,137.6,154.1,195.2,262.7,380.1,743.6
"2016","May",100.3,109.2,119.8,127.4,137.6,154.1,195.1,262.6,379.9,743.3
"2016","June",100.4,109.2,119.8,127.5,137.7,154.2,195.2,262.8,380.1,743.7
"2016","July",100.3,109.1,119.8,127.4,137.5,154.0,195.1,262.6,379.8,743.2
"2016","August",100.4,109.2,119.8,127.5,137.6,154.1,195.1,262.7,380.0,743.5
