"Sector","Function","Transaction","Data","2015"
"S13 General government","G0  All functions","D1K Compensation of employees","Current prices",29055
"S13 General government","G0  All functions","D1K Compensation of employees","Ratio to GDP, %",13.9
"S13 General government","G0  All functions","D1K Compensation of employees","Per capita, EUR",5303
"S13 General government","G0  All functions","D11K Wages and salaries","Current prices",22743
"S13 General government","G0  All functions","D11K Wages and salaries","Ratio to GDP, %",10.9
"S13 General government","G0  All functions","D11K Wages and salaries","Per capita, EUR",4151
"S13 General government","G0  All functions","D12K Employers' social contributions","Current prices",6312
"S13 General government","G0  All functions","D12K Employers' social contributions","Ratio to GDP, %",3.0
"S13 General government","G0  All functions","D12K Employers' social contributions","Per capita, EUR",1152
"S13 General government","G0  All functions","P2K Intermediate consumption","Current prices",23087
"S13 General government","G0  All functions","P2K Intermediate consumption","Ratio to GDP, %",11.0
"S13 General government","G0  All functions","P2K Intermediate consumption","Per capita, EUR",4213
"S13 General government","G0  All functions","D29K Other taxes on production","Current prices",6
"S13 General government","G0  All functions","D29K Other taxes on production","Ratio to GDP, %",0.0
"S13 General government","G0  All functions","D29K Other taxes on production","Per capita, EUR",1
"S13 General government","G0  All functions","D3K Subsidies","Current prices",2832
"S13 General government","G0  All functions","D3K Subsidies","Ratio to GDP, %",1.4
"S13 General government","G0  All functions","D3K Subsidies","Per capita, EUR",517
"S13 General government","G0  All functions","D4K Property expenditure","Current prices",2523
"S13 General government","G0  All functions","D4K Property expenditure","Ratio to GDP, %",1.2
"S13 General government","G0  All functions","D4K Property expenditure","Per capita, EUR",460
"S13 General government","G0  All functions","D4SK  Property expenditure, consolidated","Current prices",2470
"S13 General government","G0  All functions","D4SK  Property expenditure, consolidated","Ratio to GDP, %",1.2
"S13 General government","G0  All functions","D4SK  Property expenditure, consolidated","Per capita, EUR",451
"S13 General government","G0  All functions","D5K Current taxes on income and wealth, etc., payable","Current prices",99
"S13 General government","G0  All functions","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",0.0
"S13 General government","G0  All functions","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",18
"S13 General government","G0  All functions","D62K Social benefits other than social transfers in kind, payable","Current prices",41568
"S13 General government","G0  All functions","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",19.8
"S13 General government","G0  All functions","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",7586
"S13 General government","G0  All functions","D632K Social transfers in kind - purchased market production","Current prices",5899
"S13 General government","G0  All functions","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",2.8
"S13 General government","G0  All functions","D632K Social transfers in kind - purchased market production","Per capita, EUR",1077
"S13 General government","G0  All functions","D7K Other current transfers, payable","Current prices",36514
"S13 General government","G0  All functions","D7K Other current transfers, payable","Ratio to GDP, %",17.4
"S13 General government","G0  All functions","D7K Other current transfers, payable","Per capita, EUR",6664
"S13 General government","G0  All functions","D7SK Other current transfers, payable (consolidated)","Current prices",5823
"S13 General government","G0  All functions","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",2.8
"S13 General government","G0  All functions","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",1063
"S13 General government","G0  All functions","D9K Capital transfers, payable","Current prices",1149
"S13 General government","G0  All functions","D9K Capital transfers, payable","Ratio to GDP, %",0.5
"S13 General government","G0  All functions","D9K Capital transfers, payable","Per capita, EUR",210
"S13 General government","G0  All functions","D9SK Capital transfers, payable (consolidated)","Current prices",926
