"Transaction","Area","2014"
"B2NT Operating surplus, net","WHOLE COUNTRY",8410
"B2NT Operating surplus, net","Uusimaa",2464
"B2NT Operating surplus, net","Varsinais-Suomi",711
"B2NT Operating surplus, net","Satakunta",369
"B2NT Operating surplus, net","Kanta-Häme",295
"B2NT Operating surplus, net","Pirkanmaa",762
"B2NT Operating surplus, net","Päijät-Häme",296
"B2NT Operating surplus, net","Kymenlaakso",295
"B2NT Operating surplus, net","South Karelia",193
"B2NT Operating surplus, net","Etelä-Savo",249
"B2NT Operating surplus, net","Pohjois-Savo",376
"B2NT Operating surplus, net","North Karelia",240
"B2NT Operating surplus, net","Central Finland",422
"B2NT Operating surplus, net","South Ostrobothnia",313
"B2NT Operating surplus, net","Ostrobothnia",272
"B2NT Operating surplus, net","Central Ostrobothnia",92
"B2NT Operating surplus, net","North Ostrobothnia",586
"B2NT Operating surplus, net","Kainuu",116
"B2NT Operating surplus, net","Lapland",302
"B2NT Operating surplus, net","Åland",57
"B3NT Mixed income, net","WHOLE COUNTRY",7662
"B3NT Mixed income, net","Uusimaa",2062
"B3NT Mixed income, net","Varsinais-Suomi",632
"B3NT Mixed income, net","Satakunta",326
"B3NT Mixed income, net","Kanta-Häme",239
"B3NT Mixed income, net","Pirkanmaa",643
"B3NT Mixed income, net","Päijät-Häme",273
"B3NT Mixed income, net","Kymenlaakso",211
"B3NT Mixed income, net","South Karelia",184
"B3NT Mixed income, net","Etelä-Savo",316
"B3NT Mixed income, net","Pohjois-Savo",398
"B3NT Mixed income, net","North Karelia",271
"B3NT Mixed income, net","Central Finland",403
"B3NT Mixed income, net","South Ostrobothnia",362
"B3NT Mixed income, net","Ostrobothnia",293
"B3NT Mixed income, net","Central Ostrobothnia",120
"B3NT Mixed income, net","North Ostrobothnia",538
"B3NT Mixed income, net","Kainuu",110
"B3NT Mixed income, net","Lapland",241
"B3NT Mixed income, net","Åland",41
"D11R_2 Wages and salaries (incl.  employee stock options)","WHOLE COUNTRY",82418
"D11R_2 Wages and salaries (incl.  employee stock options)","Uusimaa",30800
"D11R_2 Wages and salaries (incl.  employee stock options)","Varsinais-Suomi",6701
"D11R_2 Wages and salaries (incl.  employee stock options)","Satakunta",3030
"D11R_2 Wages and salaries (incl.  employee stock options)","Kanta-Häme",2545
"D11R_2 Wages and salaries (incl.  employee stock options)","Pirkanmaa",7304
"D11R_2 Wages and salaries (incl.  employee stock options)","Päijät-Häme",2671
"D11R_2 Wages and salaries (incl.  employee stock options)","Kymenlaakso",2376
"D11R_2 Wages and salaries (incl.  employee stock options)","South Karelia",1768
"D11R_2 Wages and salaries (incl.  employee stock options)","Etelä-Savo",1750
"D11R_2 Wages and salaries (incl.  employee stock options)","Pohjois-Savo",3159
"D11R_2 Wages and salaries (incl.  employee stock options)","North Karelia",1882
"D11R_2 Wages and salaries (incl.  employee stock options)","Central Finland",3503
"D11R_2 Wages and salaries (incl.  employee stock options)","South Ostrobothnia",2363
"D11R_2 Wages and salaries (incl.  employee stock options)","Ostrobothnia",2621
"D11R_2 Wages and salaries (incl.  employee stock options)","Central Ostrobothnia",872
"D11R_2 Wages and salaries (incl.  employee stock options)","North Ostrobothnia",5380
"D11R_2 Wages and salaries (incl.  employee stock options)","Kainuu",891
"D11R_2 Wages and salaries (incl.  employee stock options)","Lapland",2299
"D11R_2 Wages and salaries (incl.  employee stock options)","Åland",504
"D12R Employers' social contributions","WHOLE COUNTRY",19147
"D12R Employers' social contributions","Uusimaa",7151
"D12R Employers' social contributions","Varsinais-Suomi",1559
"D12R Employers' social contributions","Satakunta",702
"D12R Employers' social contributions","Kanta-Häme",589
"D12R Employers' social contributions","Pirkanmaa",1700
"D12R Employers' social contributions","Päijät-Häme",621
"D12R Employers' social contributions","Kymenlaakso",548
"D12R Employers' social contributions","South Karelia",411
"D12R Employers' social contributions","Etelä-Savo",408
"D12R Employers' social contributions","Pohjois-Savo",735
"D12R Employers' social contributions","North Karelia",438
"D12R Employers' social contributions","Central Finland",815
"D12R Employers' social contributions","South Ostrobothnia",550
"D12R Employers' social contributions","Ostrobothnia",610
"D12R Employers' social contributions","Central Ostrobothnia",203
"D12R Employers' social contributions","North Ostrobothnia",1252
"D12R Employers' social contributions","Kainuu",204
"D12R Employers' social contributions","Lapland",534
"D12R Employers' social contributions","Åland",117
"D4R_2 Property income (including holding gains and losses)","WHOLE COUNTRY",11806
"D4R_2 Property income (including holding gains and losses)","Uusimaa",4191
"D4R_2 Property income (including holding gains and losses)","Varsinais-Suomi",1125
"D4R_2 Property income (including holding gains and losses)","Satakunta",409
"D4R_2 Property income (including holding gains and losses)","Kanta-Häme",315
"D4R_2 Property income (including holding gains and losses)","Pirkanmaa",1054
"D4R_2 Property income (including holding gains and losses)","Päijät-Häme",384
"D4R_2 Property income (including holding gains and losses)","Kymenlaakso",295
"D4R_2 Property income (including holding gains and losses)","South Karelia",220
"D4R_2 Property income (including holding gains and losses)","Etelä-Savo",289
"D4R_2 Property income (including holding gains and losses)","Pohjois-Savo",445
"D4R_2 Property income (including holding gains and losses)","North Karelia",293
"D4R_2 Property income (including holding gains and losses)","Central Finland",520
"D4R_2 Property income (including holding gains and losses)","South Ostrobothnia",394
"D4R_2 Property income (including holding gains and losses)","Ostrobothnia",497
"D4R_2 Property income (including holding gains and losses)","Central Ostrobothnia",133
"D4R_2 Property income (including holding gains and losses)","North Ostrobothnia",716
"D4R_2 Property income (including holding gains and losses)","Kainuu",123
"D4R_2 Property income (including holding gains and losses)","Lapland",294
"D4R_2 Property income (including holding gains and losses)","Åland",110
"D4K Property expenditure","WHOLE COUNTRY",1041
"D4K Property expenditure","Uusimaa",311
"D4K Property expenditure","Varsinais-Suomi",94
"D4K Property expenditure","Satakunta",42
"D4K Property expenditure","Kanta-Häme",36
"D4K Property expenditure","Pirkanmaa",92
"D4K Property expenditure","Päijät-Häme",35
"D4K Property expenditure","Kymenlaakso",28
"D4K Property expenditure","South Karelia",21
"D4K Property expenditure","Etelä-Savo",28
"D4K Property expenditure","Pohjois-Savo",51
"D4K Property expenditure","North Karelia",30
"D4K Property expenditure","Central Finland",47
"D4K Property expenditure","South Ostrobothnia",44
"D4K Property expenditure","Ostrobothnia",37
"D4K Property expenditure","Central Ostrobothnia",16
"D4K Property expenditure","North Ostrobothnia",77
"D4K Property expenditure","Kainuu",12
"D4K Property expenditure","Lapland",30
"D4K Property expenditure","Åland",7
"B5NT1 National income / balance of primary incomes, net","WHOLE COUNTRY",128402
"B5NT1 National income / balance of primary incomes, net","Uusimaa",46356
"B5NT1 National income / balance of primary incomes, net","Varsinais-Suomi",10634
"B5NT1 National income / balance of primary incomes, net","Satakunta",4793
"B5NT1 National income / balance of primary incomes, net","Kanta-Häme",3946
"B5NT1 National income / balance of primary incomes, net","Pirkanmaa",11370
"B5NT1 National income / balance of primary incomes, net","Päijät-Häme",4210
"B5NT1 National income / balance of primary incomes, net","Kymenlaakso",3696
"B5NT1 National income / balance of primary incomes, net","South Karelia",2755
"B5NT1 National income / balance of primary incomes, net","Etelä-Savo",2984
"B5NT1 National income / balance of primary incomes, net","Pohjois-Savo",5063
"B5NT1 National income / balance of primary incomes, net","North Karelia",3094
"B5NT1 National income / balance of primary incomes, net","Central Finland",5616
"B5NT1 National income / balance of primary incomes, net","South Ostrobothnia",3937
"B5NT1 National income / balance of primary incomes, net","Ostrobothnia",4257
"B5NT1 National income / balance of primary incomes, net","Central Ostrobothnia",1403
"B5NT1 National income / balance of primary incomes, net","North Ostrobothnia",8395
"B5NT1 National income / balance of primary incomes, net","Kainuu",1431
"B5NT1 National income / balance of primary incomes, net","Lapland",3639
"B5NT1 National income / balance of primary incomes, net","Åland",822
"D62R Social benefits other than social transfers in kind, receivable","WHOLE COUNTRY",41755
"D62R Social benefits other than social transfers in kind, receivable","Uusimaa",11788
"D62R Social benefits other than social transfers in kind, receivable","Varsinais-Suomi",3653
"D62R Social benefits other than social transfers in kind, receivable","Satakunta",1801
"D62R Social benefits other than social transfers in kind, receivable","Kanta-Häme",1349
"D62R Social benefits other than social transfers in kind, receivable","Pirkanmaa",3775
"D62R Social benefits other than social transfers in kind, receivable","Päijät-Häme",1629
"D62R Social benefits other than social transfers in kind, receivable","Kymenlaakso",1578
"D62R Social benefits other than social transfers in kind, receivable","South Karelia",1102
"D62R Social benefits other than social transfers in kind, receivable","Etelä-Savo",1275
"D62R Social benefits other than social transfers in kind, receivable","Pohjois-Savo",1956
"D62R Social benefits other than social transfers in kind, receivable","North Karelia",1329
"D62R Social benefits other than social transfers in kind, receivable","Central Finland",2130
"D62R Social benefits other than social transfers in kind, receivable","South Ostrobothnia",1392
"D62R Social benefits other than social transfers in kind, receivable","Ostrobothnia",1262
"D62R Social benefits other than social transfers in kind, receivable","Central Ostrobothnia",483
"D62R Social benefits other than social transfers in kind, receivable","North Ostrobothnia",2876
"D62R Social benefits other than social transfers in kind, receivable","Kainuu",655
"D62R Social benefits other than social transfers in kind, receivable","Lapland",1500
"D62R Social benefits other than social transfers in kind, receivable","Åland",226
"D7R Other current transfers, receivable","WHOLE COUNTRY",2051
"D7R Other current transfers, receivable","Uusimaa",515
"D7R Other current transfers, receivable","Varsinais-Suomi",187
"D7R Other current transfers, receivable","Satakunta",98
"D7R Other current transfers, receivable","Kanta-Häme",73
"D7R Other current transfers, receivable","Pirkanmaa",189
"D7R Other current transfers, receivable","Päijät-Häme",74
"D7R Other current transfers, receivable","Kymenlaakso",73
"D7R Other current transfers, receivable","South Karelia",52
"D7R Other current transfers, receivable","Etelä-Savo",62
"D7R Other current transfers, receivable","Pohjois-Savo",96
"D7R Other current transfers, receivable","North Karelia",68
"D7R Other current transfers, receivable","Central Finland",104
"D7R Other current transfers, receivable","South Ostrobothnia",86
"D7R Other current transfers, receivable","Ostrobothnia",73
"D7R Other current transfers, receivable","Central Ostrobothnia",28
"D7R Other current transfers, receivable","North Ostrobothnia",156
"D7R Other current transfers, receivable","Kainuu",30
"D7R Other current transfers, receivable","Lapland",76
"D7R Other current transfers, receivable","Åland",11
"D5K Current taxes on income and wealth, etc., payable","WHOLE COUNTRY",28971
"D5K Current taxes on income and wealth, etc., payable","Uusimaa",10671
"D5K Current taxes on income and wealth, etc., payable","Varsinais-Suomi",2392
"D5K Current taxes on income and wealth, etc., payable","Satakunta",1047
