"Industry","Sector","Transaction","Information","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"0 Industries total","S1 Total economy","P51CK Consumption of fixed capital","Current prices",2633,3105,3636,4045,4519,5341,6125,6872,7794,8720,9555,10338,11410,12797,14654,16532,17199,17166,17366,17612,17781,18298,19159,20227,21368,23090,24631,25391,26132,27414,28985,30409,32426,34767,35395,35339,36581,38266,39064,39443,39715,40379,41131
"0 Industries total","S1 Total economy","P51CK Consumption of fixed capital","At year 2010 prices",11130,11945,12615,13062,13508,14121,14805,15458,16160,16848,17592,18369,19277,20299,21457,22623,23352,23618,23604,23541,23860,24445,25076,25955,26921,27981,28966,29822,30595,31392,32114,32770,33570,34437,35021,35339,35571,35986,36117,36188,36218,36288,36349
"0 Industries total","S1 Total economy","P51CK Consumption of fixed capital","Changes in volume indices, %",.,7.3,5.6,3.5,3.4,4.5,4.8,4.4,4.5,4.3,4.4,4.4,4.9,5.3,5.7,5.4,3.2,1.1,-0.1,-0.3,1.4,2.5,2.6,3.5,3.7,3.9,3.5,3.0,2.6,2.6,2.3,2.0,2.4,2.6,1.7,0.9,0.7,1.2,0.4,0.2,0.1,0.2,0.2
"0 Industries total","S1 Total economy","P51CK Consumption of fixed capital","Ar previous year's prices",2316,2826,3279,3765,4183,4724,5600,6395,7184,8126,9105,9977,10849,12015,13527,15450,17065,17395,17156,17319,17851,18217,18770,19831,20980,22209,23903,25359,26049,26813,28044,29577,31152,33263,35357,35716,35571,37008,38405,39141,39476,39791,40447
"0 Industries total","S1 Total economy","B2NT Operating surplus, net","Current prices",2422,2500,2667,3572,4719,4999,5342,6149,6997,7843,7805,8393,9041,10176,11008,9769,6211,7748,11036,14305,18131,18247,21346,24930,25702,28268,30717,30590,30274,32521,31915,33568,39115,38201,26920,30478,31436,28277,28942,30775,33389,35575,41249
"0 Industries total","S1 Total economy","B2NT Operating surplus, net","At year 2010 prices",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"0 Industries total","S1 Total economy","B2NT Operating surplus, net","Changes in volume indices, %",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"0 Industries total","S1 Total economy","B2NT Operating surplus, net","Ar previous year's prices",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"0 Industries total","S1 Total economy","B3NT Mixed income, net","Current prices",1499,1596,1580,1677,1874,2341,2310,2768,3052,3178,3344,3490,3053,3720,4273,4628,4184,3832,3806,3828,4549,4331,4581,4503,4968,5730,5994,6144,6241,6396,6596,6952,8037,7791,7552,7935,8149,8155,8174,7662,7650,8116,8149
"0 Industries total","S1 Total economy","B3NT Mixed income, net","At year 2010 prices",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"0 Industries total","S1 Total economy","B3NT Mixed income, net","Changes in volume indices, %",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"0 Industries total","S1 Total economy","B3NT Mixed income, net","Ar previous year's prices",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"A Agriculture, forestry and fishing","S1 Total economy","P51CK Consumption of fixed capital","Current prices",391,458,537,577,638,733,822,897,1003,1115,1135,1190,1237,1280,1386,1518,1505,1441,1391,1320,1171,1135,1158,1148,1157,1202,1226,1268,1300,1326,1374,1424,1511,1546,1574,1560,1601,1663,1679,1655,1647,1654,1656
"A Agriculture, forestry and fishing","S1 Total economy","P51CK Consumption of fixed capital","At year 2010 prices",1288,1341,1397,1386,1410,1454,1508,1541,1560,1569,1582,1596,1607,1611,1637,1650,1618,1556,1493,1448,1426,1422,1418,1426,1436,1447,1453,1476,1498,1515,1529,1534,1550,1562,1561,1560,1570,1572,1559,1545,1536,1529,1504
"A Agriculture, forestry and fishing","S1 Total economy","P51CK Consumption of fixed capital","Changes in volume indices, %",.,4.1,4.1,-0.7,1.7,3.1,3.7,2.2,1.2,0.6,0.8,0.9,0.7,0.2,1.6,0.8,-1.9,-3.9,-4.0,-3.0,-1.5,-0.3,-0.3,0.6,0.7,0.8,0.4,1.5,1.5,1.2,0.9,0.3,1.1,0.8,-0.1,-0.1,0.6,0.1,-0.8,-0.9,-0.5,-0.5,-1.6
