"Sector","Transaction","2014"
"S13 General government","P1R Output at basic prices",60523
"S13 General government","P11R Market output",11091
"S13 General government","P12R Output for own final use",2105
"S13 General government","P119R Financial intermediation services indirectly measured (FISIM)",.
"S13 General government","P131R Sales of non-market products",2234
"S13 General government","P132R Other non-market output",45093
"S13 General government","P2K Intermediate consumption",23626
"S13 General government","P119K Financial intermediation services indirectly measured (FISIM)",236
"S13 General government","P22K Other intermediate consumption",23390
"S13 General government","B1GPHT Value added, gross at basic prices",36897
"S13 General government","P51CK Consumption of fixed capital",7266
"S13 General government","B1NPHT Value added, net at basic prices",29631
"S13 General government","D1K Compensation of employees",29166
"S13 General government","D11K Wages and salaries",22786
"S13 General government","D12K Employers' social contributions",6380
"S13 General government","D29K Other taxes on production",6
"S13 General government","D39R Other subsidies on production",.
"S13 General government","B13GT Operating surplus + mixed income, gross",7725
"S13 General government","B2GT Operating surplus, gross",7725
"S13 General government","B3GT Mixed income, gross",.
"S13 General government","B13NT Operating surplus + mixed income, net",459
"S13 General government","B2NT Operating surplus, net",459
"S13 General government","B3NT Mixed income, net",.
"S13 General government","P7R Imports of goods and services",.
"S13 General government","P71R Imports of goods",.
"S13 General government","P72R Imports of services",.
"S13 General government","P721R Imports of FISIM",.
"S13 General government","P722R Other imports of services",.
"S13 General government","P6K Exports of goods and services",.
"S13 General government","P61K Exports of goods",.
"S13 General government","P62K Exports of services",.
"S13 General government","P621K Exports of FISIM",.
"S13 General government","P622K Other exports of services",.
"S13 General government","B11T External balance of goods and services",.
"S13 General government","D1R Compensation of employees, receivable",.
"S13 General government","D11R Wages and salaries, receivable",.
"S13 General government","D12R Employers' social contributions",.
"S13 General government","D2R Taxes on production and imports, receivable",29556
"S13 General government","D21R Taxes on products",29088
"S13 General government","D211R VAT",18948
"S13 General government","D212R Taxes and duties on imports excluding VAT",.
"S13 General government","D214R Taxes on products, except VAT and import taxes",10140
"S13 General government","D29R Other taxes on production",468
"S13 General government","D3K Subsidies",2689
"S13 General government","D31K Subsidies on products",719
"S13 General government","D39K Other subsidies on production",1970
"S13 General government","D4R Property income",6408
"S13 General government","D41R Interest, receivable (FISIM-adjusted)",2147
"S13 General government","D411R Actual interest, receivable",2096
"S13 General government","D412R Intrest, (FISIM-adjusted), deposits",51
"S13 General government","D42R Distributed income of corporations",2978
"S13 General government","D421R Income from dividends",2520
"S13 General government","D422R Withdrawals from income of quasi-corporations",458
"S13 General government","D43R Reinvested earnings on direct foreign investment",8
"S13 General government","D44R Other investment income",877
"S13 General government","D441R Investment income attributable to insurance policy holders, receivable",3
"S13 General government","D442R Investment income payable on pension entitlements",.
"S13 General government","D443R Investment income attributable to collective investment fund shareholders",874
"S13 General government","D45R Rents, receivable",398
"S13 General government","D4K Property expenditure",2595
"S13 General government","D41K Interest, payable (FISIM-adjusted)",2582
"S13 General government","D411K Actual interest, payable",2767
"S13 General government","D412K Interest, (FISIM-adjusted), loans",-185
"S13 General government","D42K Distributed income of corporations",.
"S13 General government","D421K Dividend income",.
"S13 General government","D422K Withdrawals from income of quasi-corporations, payable",.
"S13 General government","D43K Reinvested earnings on direct foreign investment",.
"S13 General government","D44K Other investment income",.
"S13 General government","D441K Investment income attributable to insurance policy holders, payable",.
"S13 General government","D442K Investment income payable on pension entitlements",.
"S13 General government","D443K Investment income attributable to collective investment fund shareholders",.
"S13 General government","D45K Rents, payable",13
"S13 General government","B5GT Gross national income",38405
"S13 General government","B5NT Net national income",31139
"S13 General government","B4GT Entrepreneurial income, gross",7725
"S13 General government","B41GT Entrepreneurial income from agriculture, gross",.
"S13 General government","B42GT Entrepreneurial income from forestry, gross",.
"S13 General government","B43GT Imputed rent of owner-occupiers, gross",.
"S13 General government","B44GT Other entrepreneurial income, gross",.
"S13 General government","B4NT Entrepreneurial income",459
"S13 General government","B41NT Entrepreneurial income from agriculture",.
"S13 General government","B42NT Entrepreneurial income from forestry",.
"S13 General government","B43NT Imputed rent of owner-occupiers",.
"S13 General government","B44NT Other entrepreneurial income",.
"S13 General government","D5R Current taxes on income and wealth, etc., receivable",33790
"S13 General government","D51R Income taxes",31546
"S13 General government","D59R Other current taxes, excl. tax on capital",2244
"S13 General government","D61R Social contributions, receivable",26288
"S13 General government","D611R Employers’ actual social contributions, receivable",17916
"S13 General government","D6111R Employers’ actual pension contributions",14613
"S13 General government","D61111R Compulsory employers' actual pension contributions, receivable",14603
"S13 General government","D61112R Voluntary employers' actual pension contributions, receivable",10
"S13 General government","D6112R Employers’ actual non-pension contributions",3303
"S13 General government","D61121R Compulsory employers’ actual non-pension contributions",3282
"S13 General government","D61122R Voluntary employers’ actual non-pension contributions",21
"S13 General government","D612R Employers’ imputed social contributions",.
"S13 General government","D613R Households’ actual social contributions",8372
"S13 General government","D6131R Households’ actual pension contributions",5785
"S13 General government","D61311R Compulsory households' actual pension contributions",5785
"S13 General government","D61312R Voluntary households' actual pension contributions",.
"S13 General government","D6132R Households’ actual non-pension contributions",2587
"S13 General government","D61321R Compulsory households' actual non-pension contributions",2341
"S13 General government","D61322R Voluntary households' actual non-pension contributions",246
"S13 General government","D614R Households’ social contribution supplements",.
"S13 General government","D61SCR Social insurance scheme service charges",.
"S13 General government","D62R Social benefits other than social transfers in kind, receivable",.
"S13 General government","D621R Social security benefits in cash, receivable",.
"S13 General government","D6211R Social security pension benefits in cash",.
"S13 General government","D6212R Social security non-pension benefits in cash",.
"S13 General government","D622R Other social insurance benefits, receivable",.
"S13 General government","D6221R Other social insurance pension benefits",.
"S13 General government","D6222R Other social insurance non-pension benefits",.
"S13 General government","D623R Social assistance benefits in cash, receivable",.
"S13 General government","D7R Other current transfers, receivable",30762
"S13 General government","D71R Net non-life insurance premiums",.
"S13 General government","D72R Non-life insurance claims",3
"S13 General government","D73R Current transfers within general government",29994
"S13 General government","D73RS13 Current transfers within general government",29994
"S13 General government","D73RS1311 Current transfers within general government",26239
"S13 General government","D73RS1313 Current transfers within general government",882
"S13 General government","D73RS1314 Current transfers within general government",2873
"S13 General government","D73RS13141 Current transfers within general government",1877
"S13 General government","D73RS13149 Current transfers within general government",996
"S13 General government","D74R Transfers from international co-operation",387
"S13 General government","D74RS1311 Transfers from international co-operation",.
"S13 General government","D74RS13141 Transfers from international co-operation",.
"S13 General government","D74RS13149 Transfers from international co-operation",.
"S13 General government","D74RS2 Transfers from international co-operation",387
"S13 General government","D74RS21 Transfers from international co-operation of the European Union",375
"S13 General government","D74RS22 Transfers from other international co-operation",12
"S13 General government","D75R Miscellaneous current transfers",378
"S13 General government","D759RS1 Other transfers from home country",378
"S13 General government","D759RS11 Transfers from non-financial corporations and housing corporations",40
"S13 General government","D759RS12 Transfers from financial corporations",11
"S13 General government","D759RS13 Transfers from general government",.
"S13 General government","D759RS1311 Transfers from central government",.
"S13 General government","D759RS1313 Transfers from local government and intermunicipal authorities",.
"S13 General government","D759RS1314 Transfers from social security funds",.
"S13 General government","D759RS13141 Transfers from employment pension schemes",.
"S13 General government","D759RS13149 Transfers from other social security funds",.
"S13 General government","D759RS14 Transfers from households",178
"S13 General government","D759RS15 Transfers from non-profit institutions",149
"S13 General government","D759RS2 Other current transfers from the rest of the world",.
"S13 General government","D759RS21 Other transfers from the EU",.
"S13 General government","D759RS22 Other transfers from other countries",.
"S13 General government","D76R VAT- and GNI-based EU own resources",.
