"Sector","Tax category","1975 Current prices, millions of euro","1976 Current prices, millions of euro","1977 Current prices, millions of euro","1978 Current prices, millions of euro","1979 Current prices, millions of euro","1980 Current prices, millions of euro","1981 Current prices, millions of euro","1982 Current prices, millions of euro","1983 Current prices, millions of euro","1984 Current prices, millions of euro","1985 Current prices, millions of euro","1986 Current prices, millions of euro","1987 Current prices, millions of euro","1988 Current prices, millions of euro","1989 Current prices, millions of euro","1990 Current prices, millions of euro","1991 Current prices, millions of euro","1992 Current prices, millions of euro","1993 Current prices, millions of euro","1994 Current prices, millions of euro","1995 Current prices, millions of euro","1996 Current prices, millions of euro","1997 Current prices, millions of euro","1998 Current prices, millions of euro","1999 Current prices, millions of euro","2000 Current prices, millions of euro","2001 Current prices, millions of euro","2002 Current prices, millions of euro","2003 Current prices, millions of euro","2004 Current prices, millions of euro","2005 Current prices, millions of euro","2006 Current prices, millions of euro","2007 Current prices, millions of euro","2008 Current prices, millions of euro","2009 Current prices, millions of euro","2010 Current prices, millions of euro","2011 Current prices, millions of euro","2012 Current prices, millions of euro","2013 Current prices, millions of euro","2014 Current prices, millions of euro","2015 Current prices, millions of euro","2016 Current prices, millions of euro","2017 Current prices, millions of euro","2018 Current prices, millions of euro"
"S13 General government","Total",6589,8202,9041,9167,10233,11895,14196,15599,17236,20091,22813,25258,26251,32200,35694,39052,38653,37305,37280,41307,43681,46477,49629,53810,56033,62296,62229,64152,64143,66148,69076,72587,77247,79617,73950,76163,82560,85084,88521,89856,91760,94839,96688,98793
"S13 General government","1000 Taxes on income, profits and capital gains",2851,3689,3847,3675,3980,4653,5802,6422,7176,8240,9304,10569,10265,12634,13897,15323,14706,13460,12592,14451,15851,18040,19068,21240,21808,26910,25462,26046,24857,25534,26459,27653,30358,31064,26505,27104,29334,29202,30797,31479,32371,32934,34404,34505
"S13 General government","1100 Taxes on income, profits and capital gains of individuals",2539,3290,3485,3289,3550,4248,5225,5773,6427,7467,8521,9646,9506,11599,12656,13562,13009,12130,12368,13964,13639,15256,15325,16195,16512,19118,19627,20058,19905,20177,21211,22038,23396,24593,23011,22545,24181,24989,25998,27523,27824,28136,28277,28569
"S13 General government","110001 Duty on interests",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,180,280,232,207,215,168,115,94,92,218,268,216,170,164,175,254,432,493,205,198,237,207,142,110,90,66,44
"S13 General government","110002 Income tax of households",2512,3258,3452,3252,3508,4204,5172,5718,6369,7389,8451,9624,9480,11566,12623,13520,12921,11913,12088,13732,13432,15041,15157,16080,16418,19026,19409,19790,19689,20007,21047,21863,23142,24161,22518,22340,23983,24752,25791,27381,27714,28046,28211,28525
"S13 General government","110003 Seamen's tax",20,24,25,26,29,30,35,35,36,44,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","110004 Tax on winnings from lottery or gambling",7,8,8,11,13,14,18,20,22,34,34,22,26,33,33,42,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","1200 Corporate taxes on income, profits and capital gains",312,399,362,386,430,405,577,649,749,773,783,923,759,1035,1241,1761,1697,1330,224,487,2212,2784,3743,5045,5296,7792,5835,5988,4952,5357,5248,5615,6962,6471,3494,4559,5153,4213,4799,3956,4547,4798,6127,5936
"S13 General government","120001 Income tax of corporations",303,389,348,373,415,389,556,626,722,744,750,888,719,986,1187,1700,1646,1294,216,471,2138,2690,3618,4888,5180,7658,5739,5886,4866,5260,5147,5507,6839,6357,3406,4443,5022,4114,4683,3845,4429,4798,6127,5936
"S13 General government","120002 Church tax of corporations",9,10,14,13,15,16,21,23,27,27,33,35,40,49,54,61,51,36,8,16,74,94,125,157,116,134,96,102,86,97,101,108,123,114,88,116,131,99,116,111,118,0,0,0
"S13 General government","120003 Payment to equalize business fluctuations",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13 General government","2000 Social security contributions",1347,1639,1914,1847,2255,2776,3228,3385,3594,4182,5005,5479,5893,7294,8263,10012,10738,11135,11847,13107,13518,13489,13764,14711,15443,15756,16782,17038,17154,17763,18879,20276,21384,22335,22055,22648,23776,25261,25632,26011,26639,27630,27000,27645
"S13 General government","2100 Social security contributions of employees and self-employed",357,417,460,399,470,546,671,698,746,994,1218,1251,1343,1483,1564,1885,1820,2818,3461,4302,4046,3942,3956,3963,4105,4185,4279,4234,4250,4356,4752,5447,5669,5653,5794,6607,6839,7587,7744,8126,8407,8867,9415,10014
"S13 General government","210001 Employees employment pension contribution",38,53,69,74,80,94,153,144,143,157,179,211,243,281,344,417,465,450,1416,1476,1690,1879,2066,2284,2419,2696,2858,2975,3148,3232,3452,3589,3767,3845,3981,4318,4737,5337,5422,5785,5983,6020,6434,6804
