mk;2013;2014;2015;2016;2017
Uusimaa;20 985;19 522;16 912;15 850;18 033
Varsinais-Suomi;2 867;3 806;4 647;4 000;5 774
Satakunta;3 879;3 852;3 348;3 098;3 114
Kanta-Häme;1 419;1 471;1 289;1 367;1 461
Pirkanmaa;4 269;4 125;4 161;4 138;4 764
Päijät-Häme;1 594;1 655;1 697;1 670;1 780
Kymenlaakso;4 666;4 886;4 766;4 661;4 324
Etelä-Karjala;1 355;1 309;1 277;1 397;1 411
Etelä-Savo;393;399;387;422;398
Pohjois-Savo;1 000;1 093;1 135;1 177;1 367
Pohjois-Karjala;822;804;766;755;894
Keski-Suomi;1 973;1 904;2 135;2 159;2 364
Etelä-Pohjanmaa;584;594;553;561;598
Pohjanmaa;3 317;3 266;3 129;3 122;3 505
Keski-Pohjanmaa;1 349;1 616;1 729;1 806;2 621
Pohjois-Pohjanmaa;1 420;1 572;1 396;1 337;1 864
Kainuu;138;144;145;211;331
Lappi;3 345;3 291;3 875;3 553;4 188
Ahvenanmaa - Åland;117;85;103;83;95
Tuntemato;555;578;429;513;669
Yhteensä;56 048;55 973;53 880;51 878;59 554
